Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
SF,es Club CrestReal Madrid,10,7,3,0,22,12,10,24,19.3,13.5,5.8,0.58,"72,017",Rodrygo - 5,Andriy Lunin
SF,de Club CrestBayern Munich,10,7,2,1,18,9,9,23,17,10.2,6.8,0.68,"75,000",Harry Kane - 7,Manuel Neuer
SF,de Club CrestDortmund,10,5,3,2,15,9,6,18,12.7,17.7,-5.1,-0.51,"81,365","Marco Reus, Julian Brandt... - 2",Gregor Kobel
SF,fr Club CrestParis S-G,10,5,2,3,19,13,6,17,19.5,10.8,8.7,0.87,"46,736",Kylian Mbapp‚ - 8,Gianluigi Donnarumma
QF,eng Club CrestManchester City,10,8,2,0,28,13,15,26,24.6,6.9,17.7,1.77,"51,298",Erling Haaland - 6,Ederson
QF,es Club CrestAtl‚tico Madrid,10,6,2,2,23,13,10,20,16.7,12.7,3.9,0.39,"64,803",Antoine Griezmann - 6,Jan Oblak
QF,es Club CrestBarcelona,10,6,1,3,20,14,6,19,16.9,11.3,5.6,0.56,"45,308","Robert Lewandowski, Ferr n Torres... - 3",Marc-Andr‚ ter Stegen
QF,eng Club CrestArsenal,10,5,2,3,19,8,11,17,13.4,8.5,4.9,0.49,"59,870","Leandro Trossard, Gabriel Jesus... - 4",David Raya
R16,pt Club CrestPorto,8,5,0,3,16,9,7,15,11.4,7.7,3.7,0.46,"47,944",Galeno - 5,Diogo Costa
R16,it Club CrestInter,8,4,3,1,10,7,3,15,16.2,8.6,7.6,0.94,"70,279","Alexis S nchez, Marko Arnautovic... - 2",Yann Sommer
R16,de Club CrestRB Leipzig,8,4,1,3,14,12,2,13,12.2,10.7,1.5,0.19,"43,949",Lo‹s Openda - 4,Janis Blaswich
R16,it Club CrestLazio,8,4,1,3,8,10,-2,13,10.6,11.7,-1.1,-0.14,"47,701",Ciro Immobile - 4,Ivan Provedel
R16,es Club CrestReal Sociedad,8,3,3,2,8,6,2,12,10.3,6.4,3.9,0.49,"36,790",Brais M‚ndez - 3,?lex Remiro
R16,it Club CrestNapoli,8,3,2,3,12,13,-1,11,10.5,11.6,-1.1,-0.13,"45,367",Victor Osimhen - 2,Alex Meret
R16,nl Club CrestPSV Eindhoven,8,2,4,2,9,13,-4,10,11,11,0,0,"34,589",Luuk de Jong - 3,Walter Ben¡tez
R16,dk Club CrestFC Copenhagen,8,2,2,4,10,14,-4,8,9.1,12.8,-3.7,-0.46,"35,592","Mohamed Elyounoussi, Lukas Lerager - 3",Kamil Grabara
GR,ua Club CrestShakhtar,6,3,0,3,10,12,-2,9,7.4,10.9,-3.5,-0.58,"47,695",Danylo Sikan - 4,Dmytro Riznyk
GR,it Club CrestMilan,6,2,2,2,5,8,-3,8,9.6,7.7,1.9,0.32,"72,212",Samuel Chukwueze - 2,Mike Maignan
GR,fr Club CrestLens,6,2,2,2,6,11,-5,8,6.1,7.5,-1.4,-0.23,"37,543","Angelo Fulgini, Elye Wahi - 2",Brice Samba
GR,nl Club CrestFeyenoord,6,2,0,4,9,10,-1,6,10.6,8,2.6,0.43,"44,010",Santiago Gim‚nez - 2,Justin Bijlow
GR,eng Club CrestNewcastle Utd,6,1,2,3,6,7,-1,5,5.9,12.3,-6.4,-1.07,"52,023","Dan Burn, Fabian Sch„r... - 1",Nick Pope
GR,tr Club CrestGalatasaray,6,1,2,3,10,13,-3,5,9.8,10.2,-0.4,-0.07,"50,140","Mauro Icardi, Hakim Ziyech... - 2",Fernando Muslera
GR,eng Club CrestManchester Utd,6,1,1,4,12,15,-3,4,10.5,11.4,-0.9,-0.15,"73,175",Rasmus H?jlund - 5,Andr‚ Onana
GR,pt Club CrestBenfica,6,1,1,4,7,11,-4,4,7.8,15.9,-8.1,-1.34,"56,621",Jo?o M rio - 3,Anatolii Trubin
GR,at Club CrestRB Salzburg,6,1,1,4,4,8,-4,4,7.4,11.4,-3.9,-0.66,"28,477",Oscar Gloukh - 2,Alexander Schlager
GR,ch Club CrestYoung Boys,6,1,1,4,7,13,-6,4,6.4,15.3,-8.9,-1.48,"31,500",Meschak Elia - 2,Anthony Racioppi
GR,pt Club CrestBraga,6,1,1,4,6,12,-6,4,8.3,10,-1.7,-0.28,"21,366","Bruma, ?lvaro djal¢ - 2",Matheus
GR,sct Club CrestCeltic,6,1,1,4,5,15,-10,4,4.9,11.7,-6.8,-1.13,"56,099","Kyogo Furuhashi, Luis Enrique Palma - 2",Joe Hart
GR,be Club CrestAntwerp,6,1,0,5,6,17,-11,3,6.2,11.1,-4.9,-0.81,"13,570","Vincent Janssen, Arbnor Muja... - 1",Jean Butez
GR,de Club CrestUnion Berlin,6,0,2,4,6,10,-4,2,5.6,11.5,-5.9,-0.98,"72,976",Sheraldo Becker - 2,Frederik R?nnow
GR,es Club CrestSevilla,6,0,2,4,7,12,-5,2,5.9,10.8,-4.9,-0.81,"34,181","Sergio Ramos, Nemanja Gudelj... - 2",Marko Dmitrovic
GR,rs Club CrestRed Star,6,0,1,5,7,15,-8,1,8.7,14.8,-6.1,-1.02,"46,202",Osman Bukari - 2,Omri Glazer
