Season,Winners,Runners-up,Score
2023-24,Real Madrid,Borussia Dortmund,2-0
2022-23,Manchester City,Inter Milan,1-0
2021-22,Real Madrid,Liverpool,1-0
2020-21,Chelsea,Manchester City,1–0
2019-20,Bayern Munich,Paris Saint-Germain,1-0
2018-19,Liverpool,Tottenham Hotspur,2-0
2017-18,Real Madrid,Liverpool,3-1
2016-17,Real Madrid,Juventus,4-1
2015-16,Real Madrid,Atlético Madrid,1-1 (5–3)
2014-15,Barcelona,Juventus,03-01
2013-14,Real Madrid,Atlético Madrid,04-01
2012-13,Bayern Munich,Borussia Dortmund,02-01
2011-12,Chelsea,Bayern Munich,1-1 (4–3)
2010-11,Barcelona,Manchester United,3-1
2009-10,Inter Milan,Bayern Munich,2-0
2008-09,Barcelona,Manchester United,2-0
2007-08,Manchester United,Chelsea,1-1 (6–5)
2006-07,Milan,Liverpool,2-1
